MAPREF,NAME,ADDRESS,BEDSPACES,STATUS,APPLNO,UPRN,BOUNDARY,OBJECTID,TYPE,STATUS2,Shape__Area,Shape__Length,NOTES,X,Y
59,Fitzhardinge House,Fitzhardinge House Tailors Court Bristol BS1 2EY,46,Student accommodation,n/a,000000233421,UPRN extent,1544,,Student accommodation as at 11 Sept 2024,263.428475,66.23268844, ,358864,173165
60,Holly Court,Holly Court High Kingsdown Bristol BS2 8DQ,45,Student accommodation,n/a,000000088692,UPRN extent,1545,,Student accommodation as at 11 Sept 2024,489.80375,89.91942232, ,358271,173770
61,Berkeley House,Berkeley House 8 Pritchard Street Bristol BS2 8FJ,43,Student accommodation,n/a,000000279860,UPRN extent,1546,,Student accommodation as at 11 Sept 2024,259.68925,66.54307822, ,359463,173573
62,Queens Road,115 Queens Road Clifton Bristol BS8 1LL,42,Student accommodation,n/a,000000100172,UPRN extent,1547,,Student accommodation as at 11 Sept 2024,219.3125,68.31354897, ,357482,173216
63,Creswicke House,Creswicke House 9 Small Street City Centre Bristol BS1 1DB,41,Student accommodation,n/a,000000297885,UPRN extent,1548,,Student accommodation as at 11 Sept 2024,268.07375,88.95713096, ,358722,173079
64,Jacobs Brewery,Jacobs Brewery 19 Jacobs Wells Road Bristol BS8 1DS,39,Student accommodation,n/a,000000106821,UPRN extent,1549,,Student accommodation as at 11 Sept 2024,530.11125,103.9126123, ,357700,172805
65,Southside Central,South Side Central 7 - 12 Triangle South Bristol BS8 1EY,44,Student accommodation,n/a,000000355080,UPRN extent,1550,,Student accommodation as at 11 Sept 2024,764.715813,151.2562946, ,357905,173198
66,Pipe Lane Apartments,Pipe Lane Apartments Pipe Lane City Centre Bristol BS1 5AJ,38,Student accommodation,n/a,000000105665,UPRN extent,1551,,Student accommodation as at 11 Sept 2024,180.822,61.45963299, ,358465,172987
67,Crown House,Crown House 37 - 41 Prince Street Bristol BS1 4PS,32,Student accommodation,n/a,000000110172,UPRN extent,1552,,Student accommodation as at 11 Sept 2024,402.81875,107.4899072, ,358657,172554
68,Green Square Group,29 Corn Street Bristol BS1 1HT,30,Student accommodation,n/a,000000233413,UPRN extent,1553,,Student accommodation as at 11 Sept 2024,235.01,87.89383129, ,358726,172977
69,Cumberland Street,26 - 28 Cumberland Street Bristol BS2 8NL,30,Student accommodation,n/a,000000091866,UPRN extent,1554,,Student accommodation as at 11 Sept 2024,152.8,53.49450785, ,359168,173626
70,140A Whiteladies Road,Flats At 140A Whiteladies Road Bristol BS8 2RS,29,Student accommodation,n/a,000000393341,UPRN extent,1555,,Student accommodation as at 11 Sept 2024,448.45625,106.2389534, ,357420,174641
71,101 Queens Road,101 Queens Road Clifton Bristol BS8 1LW,28,Student accommodation,n/a,000000097250,UPRN extent,1556,,Student accommodation as at 11 Sept 2024,285.13,71.07353697, ,357563,173373
72,Brigantine House,Brigantine House 29 Cumberland Street Bristol BS2 8NL,27,Student accommodation,n/a,000000272931,UPRN extent,1557,,Student accommodation as at 11 Sept 2024,263.89655,67.01794288, ,359180,173654
73,Redcliff Street,92 Redcliff Street Bristol BS1 6LU,56,Student accommodation,n/a,000000339898,UPRN extent,1558,,Student accommodation as at 11 Sept 2024,543.11515,113.505984, ,359087,172521
74,Queens Gate,Queens Gate 44A Queens Road Clifton Bristol BS8 1FG,29,Student accommodation,n/a,000000379233,UPRN extent,1559,,Student accommodation as at 11 Sept 2024,450.4967975,90.7774486, ,357968,173237
75,10-11 Ashgrove Road,Upper Maisonette 11 Ashgrove Road Redland Bristol BS6 6LY,26,Student accommodation,n/a,000000344088,UPRN extent,1560,,Student accommodation as at 11 Sept 2024,543.4725,94.55152587, ,357768,174385
76,Hathaway House,Hathaway House Dove Street South Bristol BS2 8JS,25,Student accommodation,n/a,000000085889,UPRN extent,1561,,Student accommodation as at 11 Sept 2024,468.126425,99.66542418, ,358981,173880
77,Nico Lofts,Nico Lofts 47 St Nicholas Street Bristol BS1 1TP,25,Student accommodation,n/a,000000105197,UPRN extent,1562,,Student accommodation as at 11 Sept 2024,137.5575,47.70762675, ,358759,172927
78,Harford House,Harford House Frogmore Street Bristol BS1 5LZ,25,Student accommodation,n/a,000000105644,UPRN extent,1563,,Student accommodation as at 11 Sept 2024,378.954832,97.07969574, ,358406,172946
79,31-33 Corn Street,31 - 33 Corn Street Bristol BS1 1HT,24,Student accommodation,n/a,000000103956,UPRN extent,1564,,Student accommodation as at 11 Sept 2024,634.235,113.9000669, ,358737,172984
80,Carlton Chambers,Charlton Chambers 18 St Stephens Street Bristol BS1 1JR,24,Student accommodation,n/a,000000388828,UPRN extent,1565,,Student accommodation as at 11 Sept 2024,505.8326125,116.9828643, ,358745,172913
81,41-44 Triangle West,41 - 44 Triangle West Bristol BS8 1ER,24,Student accommodation,n/a,000000376695,UPRN extent,1566,,Student accommodation as at 11 Sept 2024,444.86525,84.00461282, ,357873,173228
82,Schooner House,Schooner House 15 Cumberland Street Bristol BS2 8NL,23,Student accommodation,n/a,000000231218,UPRN extent,1567,,Student accommodation as at 11 Sept 2024,201.8325,59.96310736, ,359138,173635
83,Ashley Hall,Ashley Hall 21 Ashley Down Road Bristol BS7 9EF,23,Student accommodation,n/a,000000041125,UPRN extent,1568,,Student accommodation as at 11 Sept 2024,315.5133,76.59089103, ,359439,176149
